CMS Code,Quant Budget,proj year,proj date,Project Type
HSBC10,2e3,In 2015,May 2015,Structure
HSBC10,5e3,In 2015,Aug 2015,LDI
HYDE10 (joined up valn),15e3,In 2014,Sep 2014,ALM
IAMX10,3e3,In 2015,Jul 2015,ALM
IAMX10,1500.0,In 2016,Jun 2016,3DA
ICAX10,1500.0,In 2015,Jan 2015,3DA
ICAX10,5e3,In 2015,Oct 2015,ALM
ICAX10,1e3,In 2016,Mar 2016,Other
ICAX10,8e3,In 2016,Jul 2016,ALM
ICAX10,2e3,In 2016,Sep 2016,ALM
ICAX10,200.0,In 2016,Dec 2016,Other
IET (IEEN10),1500.0,In 2014,Nov 2014,3DA
IFFR10,1500.0,In 2016,Feb 2016,3DA
INNE10,1500.0,In 2016,Oct 2016,3DA
INPO10,16500.0,In 2015,Aug 2015,ALM
INPO10,3500.0,In 2015,Aug 2015,Cashflows
INPO10,2500.0,In 2015,Nov 2015,ALM
INPO10,2500.0,In 2016,Jan 2016,ALM
INPO10,2500.0,In 2016,Apr 2016,ALM
INPO10,2500.0,In 2016,Jul 2016,ALM
INPO10,4e3,In 2016,Oct 2016,Cashflows
INPO10,2500.0,In 2016,Nov 2016,ALM
INVI01,2e3,In 2014,Mar 2014,Structure
INVI10,3500.0,In 2015,Nov 2015,Cashflows
INVI10,1e4,In 2015,Nov 2015,ALM
INVI10,3e3,In 2015,Nov 2015,Structure
INVI10,500.0,In 2016,Feb 2016,Structure
INVI10 (invista),15e3,In 2014,Feb 2014,ALM
IOWZ01,3500.0,In 2016,Nov 2016,ALM
ITCH11,2500.0,In 2015,Jun 2015,Other
KELD10,15e3,In 2014,Feb 2014,ALM
KELD10,500.0,In 2015,Jun 2015,LDI
KELD10,15e3,In 2015,Nov 2015,ALM
KELD10,5e3,In 2015,Oct 2015,Cashflows
KELD10,5e3,In 2015,Dec 2015,LDI
KELD10,1e3,In 2016,Jan 2016,Other
KELD10,500.0,In 2016,Feb 2016,Other
KENC01,2e3,In 2014,Oct 2014,Structure
KENT01,2e3,In 2014,Oct 2014,Structure
KING01,1e3,In 2016,Dec 2016,ALM
KING01,3500.0,In 2016,Nov 2016,ALM
KING01,1400.0,In 2016,Nov 2016,ALM
KING01,1400.0,In 2017,Jan 2017,ALM
KING10,1500.0,In 2016,Feb 2016,Other
KNGF10,1500.0,In 2014,Aug 2014,3DA
KNGF10,500.0,In 2015,Jan 2015,3DA
KNGF10,5e3,In 2016,Aug 2016,LDI
KNGF10,15e3,In 2016,Sep 2016,ALM
KNGF10,3500.0,In 2016,Sep 2016,Other
KNGF10,2e3,In 2016,Sep 2016,Structure
LAWD10,3e3,In 2014,Jul 2014,ALM
LAWD10,3e3,In 2015,Apr 2015,ALM
LAWD22,1500.0,In 2016,Mar 2016,3DA
LBCP10,2e3,In 2014,Jun 2014,Structure
LBHA01,3500.0,In 2016,Aug 2016,ALM
LBHA01,5e3,In 2016,Sep 2016,ALM
LBTH01,3500.0,In 2016,Aug 2016,ALM
LBTH01,2e3,In 2016,Oct 2016,ALM
LBTH01,3e3,In 2016,Nov 2016,ALM
LEIC01,3500.0,In 2016,Nov 2016,ALM
LEIC01,1400.0,In 2016,Nov 2016,ALM
LGSC10,1500.0,In 2014,Dec 2014,3DA
LGSC10,500.0,In 2015,Jan 2015,3DA
LGSC10,500.0,In 2015,May 2015,3DA
LGSC10,500.0,In 2015,Jul 2015,3DA
LGSC10,500.0,In 2015,Oct 2015,3DA
LGSC10,500.0,In 2016,Jan 2016,3DA
LGSC10,500.0,In 2016,Apr 2016,3DA
LGSC10,500.0,In 2016,Aug 2016,3DA
LGSC10,500.0,In 2016,Nov 2016,3DA
LINC01,15e3,In 2014,Feb 2014,ALM
LINC01,3500.0,In 2016,Dec 2016,ALM
LINC01,1400.0,In 2016,Dec 2016,ALM
LLYD10- Tender (TDNB01 / TDNB.0746),500.0,In 2015,Jan 2015,3DA
LONW01,1500.0,In 2015,Jul 2015,3DA
LOOM10,5e3,In 2015,Nov 2015,LDI
LOOM10,5e3,In 2016,Nov 2016,LDI
LPSL10,750.0,In 2015,Nov 2015,Structure
LSE/LCH,750.0,In 2016,Dec 2016,Structure
LSPL10,3e3,In 2015,Nov 2015,ALM
LSPL10,2500.0,In 2016,May 2016,LDI
LSPL10,8e3,In 2016,Dec 2016,LDI
LV (TENDER),1500.0,In 2014,Nov 2014,3DA
LVPE01,3500.0,In 2016,Jun 2016,ALM
LVPE10,1e3,In 2016,Feb 2016,Other
LVPE10,1e3,In 2016,Mar 2016,Other
LVPE10,2500.0,In 2016,Apr 2016,ALM
LVPE10,2500.0,In 2016,Apr 2016,ALM
LVPE10,1500.0,In 2016,Aug 2016,Other
LVPE10 Employee pension scheme,15e3,In 2015,Aug 2015,ALM
LVPE10 Ockham pension scheme,15e3,In 2015,Aug 2015,ALM
LWSM01,3500.0,In 2016,Nov 2016,ALM
MACM10,2e3,In 2015,May 2015,Structure
